function_name,entry_point_exists,size_bytes,line_count,frontend_invoker_callsites,internal_callers,shared_imports
admin-payout-approve,true,3046,88,1,0,3
admin-payout-reject,true,2866,83,1,0,3
admin-router,true,2864,91,0,0,2
admin-trigger,true,3435,99,1,0,2
ai-assistant,true,11172,267,4,1,6
ai-content-enrichment,true,16576,378,0,0,5
ai-entity-enrichment,true,7179,170,0,0,3
ai-eval-runner,true,7336,187,0,0,4
ai-proxy,true,10492,311,0,0,8
ai-rag,true,11180,279,0,0,7
ai-recommendations,true,8242,212,0,0,5
ai-router,true,4428,113,0,0,3
ai-shopping-chat,true,2520,66,1,0,3
ai-web-search,true,12116,334,0,0,4
alert-dispatcher,true,9295,279,0,7,4
audit-export,true,10582,296,0,0,3
auth-callback,true,2485,78,0,0,0
autonomous-cron-dispatcher,true,11963,277,0,0,2
auto-onboarding-cron,true,5621,154,0,0,3
auto-source-scrape,true,10175,264,0,1,2
award-loyalty-points,true,5278,161,0,1,5
aws-health-check,true,5637,180,2,0,4
backup-storage,true,5982,175,0,0,3
booking-approve,true,4070,108,1,0,4
booking-complete,true,5399,137,1,0,3
booking-create,true,7006,182,1,0,3
booking-lifecycle,true,8678,200,0,0,2
booking-reject,true,4260,111,1,0,3
booking-router,true,1828,61,0,0,2
browser-user-repair-engine,true,39907,732,0,0,2
cache-manager,true,10924,302,1,0,4
capture-payment-intent,true,5557,146,2,0,3
check-connect-status,true,3966,107,2,0,3
check-subscription,true,7646,192,3,0,3
chief-agent,true,26058,684,0,0,3
classify-business,true,6730,182,0,0,3
cleanup-expired-media,true,4805,123,0,0,3
cleanup-expired-messages,true,2492,61,0,0,3
cleanup-integration-health-logs,true,2574,85,0,0,3
cleanup-orphan-media,true,3511,108,0,0,4
collect-sepa-rents,true,7829,217,0,0,3
command-approval-webhook,true,22503,419,0,1,3
command-center-api,true,13972,495,0,1,3
command-email-intake,true,7276,159,0,0,4
command-email-parse,true,3688,95,1,0,2
command-github-webhook,true,11030,248,0,0,1
command-monitoring-cron,true,25181,630,0,0,2
commerce-router,true,9197,278,0,0,7
commission-split,true,5447,146,1,0,2
create-booking-payment,true,9361,242,4,1,3
create-checkout,true,4735,123,2,0,3
create-checkout-session,true,5484,144,2,0,3
create-concierge-payment,true,6684,170,4,0,3
create-connect-account,true,4978,133,3,0,3
create-guest-checkout,true,4645,120,1,0,3
create-legal-notice-payment,true,3671,89,1,0,3
create-listing-checkout,true,6476,180,2,0,3
create-storefront-checkout,true,8252,225,1,0,3
create-stripe-intent,true,5263,141,1,0,4
create-subscription,true,4428,115,1,0,4
create-wallet-topup,true,5152,140,2,0,3
crypto-payment,true,7607,197,2,0,4
crypto-webhook,true,7340,214,0,0,1
csp-report,true,1633,48,0,0,1
customer-portal,true,3306,77,1,0,3
deep-scrape-build,true,34170,813,1,0,2
