file,line,table,column,type
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,7,profiles,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,8,profiles,email,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,9,profiles,name,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,10,profiles,country,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,11,profiles,locale,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,12,profiles,created_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,13,profiles,updated_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,19,orgs,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,20,orgs,owner_user_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,21,orgs,name,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,22,orgs,country,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,23,orgs,created_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,29,org_members,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,30,org_members,org_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,31,org_members,user_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,32,org_members,role,"public"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,33,org_members,created_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,40,user_roles,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,41,user_roles,user_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,42,user_roles,role,"public"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,49,documents,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,50,documents,org_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,51,documents,user_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,52,documents,country,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,53,documents,doc_type,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,54,documents,template_id,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,55,documents,template_version,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,56,documents,title,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,57,documents,data_json,"jsonb"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,58,documents,pdf_url,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,59,documents,status,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,60,documents,created_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,66,vault_files,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,67,vault_files,org_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,68,vault_files,user_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,69,vault_files,filename,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,70,vault_files,file_url,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,71,vault_files,tags_json,"jsonb"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,72,vault_files,size,"bigint"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,73,vault_files,created_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,79,reminders,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,80,reminders,org_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,81,reminders,user_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,82,reminders,type,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,83,reminders,label,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,84,reminders,schedule_json,"jsonb"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,85,reminders,next_run_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,86,reminders,active,"boolean"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,87,reminders,created_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,93,share_links,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,94,share_links,org_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,95,share_links,target_type,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,96,share_links,target_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,97,share_links,token_hash,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,98,share_links,expires_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,99,share_links,created_at,"timestamptz"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,105,audit_logs,id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,106,audit_logs,org_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,107,audit_logs,user_id,"uuid"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,108,audit_logs,action,"text"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,109,audit_logs,metadata_json,"jsonb"
20260225233034_fc482199-4011-4579-975e-2885342b445a.sql,110,audit_logs,created_at,"timestamptz"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,4,subscriptions,id,"uuid"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,5,subscriptions,user_id,"uuid"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,6,subscriptions,stripe_customer_id,"text"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,7,subscriptions,stripe_subscription_id,"text"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,8,subscriptions,plan,"text"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,9,subscriptions,status,"text"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,10,subscriptions,current_period_end,"timestamp"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,11,subscriptions,created_at,"timestamp"
20260226002630_4a0acf18-be6d-4547-a243-87a28c3bf309.sql,12,subscriptions,updated_at,"timestamp"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,20,properties,id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,21,properties,org_id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,22,properties,user_id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,23,properties,label,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,24,properties,address,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,25,properties,postal_code,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,26,properties,city,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,27,properties,property_type,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,28,properties,surface,"numeric"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,29,properties,rooms,"integer"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,30,properties,floor,"integer"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,31,properties,heating,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,32,properties,furnished,"boolean"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,33,properties,monthly_rent,"numeric"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,34,properties,monthly_charges,"numeric"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,35,properties,deposit_amount,"numeric"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,36,properties,notes,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,37,properties,created_at,"timestamptz"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,38,properties,updated_at,"timestamptz"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,52,tenants,id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,53,tenants,org_id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,54,tenants,user_id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,55,tenants,property_id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,56,tenants,tenant_user_id,"uuid"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,57,tenants,name,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,58,tenants,email,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,59,tenants,phone,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,60,tenants,birth_date,"date"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,61,tenants,birth_place,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,62,tenants,nationality,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,63,tenants,profession,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,64,tenants,lease_start,"date"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,65,tenants,lease_end,"date"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,66,tenants,rent_amount,"numeric"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,67,tenants,charges_amount,"numeric"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,68,tenants,deposit_amount,"numeric"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,69,tenants,lease_type,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,70,tenants,guarantor_name,"text"
20260226030620_f2858819-c272-4cd6-924f-5ffd818b3ecc.sql,71,tenants,guarantor_phone,"text"
